origin,destination,depart_date,depart_time,depart_arrival,depart_duration,return_date,return_time,return_arrival,return_duration,fare,pic,map
FMM,AGP,2018-06-15,20:50,23:45,02:55,2018-06-18,17:25,20:10,02:45,134,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
MUC,DUB,2018-07-06,21:10,22:40,02:30,2018-07-09,16:55,20:20,02:25,134,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
FMM,AGP,2018-07-06,20:50,23:45,02:55,2018-07-09,17:25,20:10,02:45,134,/assets/img/malaga.jpg,"https://www.google.de/maps/place/Malaga+airport+-+Costa+del+Sol/@36.6794172,-4.4950028,15z/data=!4m2!3m1!1s0x0:0x57b5ad2f47de3e9a?sa=X&ved=0ahUKEwien_bExdfaAhVlM5oKHa2FB94Q_BII-gEwEw"
FMM,DUB,2018-07-06,19:05,20:30,02:25,2018-07-09,13:10,16:30,02:20,134,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
MUC,DUB,2018-07-20,21:10,22:40,02:30,2018-07-23,16:55,20:20,02:25,134,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
FMM,DUB,2018-06-22,19:05,20:30,02:25,2018-06-25,13:10,16:30,02:20,139,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
FMM,PMI,2018-05-05,12:10,14:05,01:55,2018-05-08,18:35,20:40,02:05,139,/assets/img/mallorca.jpg,"https://www.google.de/maps/place/Palma+de+Mallorca+Airport/@39.5517407,2.7361649,15z/data=!4m2!3m1!1s0x0:0x7031da6569b7f956?sa=X&ved=0ahUKEwiwl83O3dfaAhVOyKQKHXI3CDMQ_BIIzQEwCg"
MUC,DUB,2018-06-01,21:10,22:40,02:30,2018-06-04,16:55,20:20,02:25,141,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
FMM,DUB,2018-07-27,19:05,20:30,02:25,2018-07-30,13:10,16:30,02:20,144,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjZ5au-xdfaAhWmDpoKHfIoCAsQ_BIImAIwGA"
MUC,DUB,2018-05-25,21:10,22:40,02:30,2018-05-28,16:55,20:20,02:25,146,/assets/img/dub.jpg,"https://www.google.de/maps/place/Dublin+Airport/@53.4264481,-6.2499098,15z/data=!4m2!3m1!1s0x0:0x55121bb5b725f355?sa=X&ved=0ahUKEwjlx8b98NXaAhUHFSwKHbXVBPgQ_BIIkQIwGA"
